OBJECTID;Shape_Length;Shape_Area;GRID_ID;X;Y;TemperatureAverage_perYear;PercipitationAverage_perYear;LandUseType
86;4000;1000000;AB-42;-5836385;-1354120;22;0,826968082;S
87;4000;1000000;AC-42;-5835385;-1354120;25;0,926231747;N
88;4000;1000000;AD-42;-5834385;-1354120;21;0,842553897;N
89;4000;1000000;AE-42;-5833385;-1354120;25;0,381608504;S
90;4000;1000000;AF-42;-5832385;-1354120;26;0,347168773;S
91;4000;1000000;AG-42;-5831385;-1354120;21;0,069360137;P
92;4000;1000000;AH-42;-5830385;-1354120;22;0,631278646;S
93;4000;1000000;AI-42;-5829385;-1354120;20;0,020903519;S
94;4000;1000000;AJ-42;-5828385;-1354120;26;0,237052711;P
95;4000;1000000;AK-42;-5827385;-1354120;24;0,107151084;N
96;4000;1000000;AL-42;-5826385;-1354120;24;0,591947464;P
97;4000;1000000;AM-42;-5825385;-1354120;24;0,394132761;S
98;4000;1000000;AN-42;-5824385;-1354120;24;0,406383801;N
99;4000;1000000;AO-42;-5823385;-1354120;20;0,339100929;S
100;4000;1000000;AP-42;-5822385;-1354120;23;0,801980715;N
101;4000;1000000;AQ-42;-5821385;-1354120;22;0,47170371;S
102;4000;1000000;AR-42;-5820385;-1354120;20;0,256809329;N
103;4000;1000000;AS-42;-5819385;-1354120;25;0,447371725;P
104;4000;1000000;AT-42;-5818385;-1354120;20;0,775011304;S
105;4000;1000000;AU-42;-5817385;-1354120;22;0,332998191;N
106;4000;1000000;AV-42;-5816385;-1354120;20;0,996923796;N
107;4000;1000000;AW-42;-5815385;-1354120;25;0,305150745;P
108;4000;1000000;AX-42;-5814385;-1354120;25;0,8731142;P
109;4000;1000000;AY-42;-5813385;-1354120;26;0,271125279;N
110;4000;1000000;AZ-42;-5812385;-1354120;20;0,517067658;P
111;4000;1000000;BA-42;-5811385;-1354120;23;0,010006656;P
112;4000;1000000;BB-42;-5810385;-1354120;20;0,440733658;N
113;4000;1000000;BC-42;-5809385;-1354120;26;0,167012171;P
114;4000;1000000;BD-42;-5808385;-1354120;21;0,732570404;P
115;4000;1000000;BE-42;-5807385;-1354120;25;0,121808333;N
116;4000;1000000;BF-42;-5806385;-1354120;26;0,619968357;S
117;4000;1000000;A-41;-5863385;-1353120;24;0,491354594;P
118;4000;1000000;B-41;-5862385;-1353120;23;0,257099976;P
119;4000;1000000;C-41;-5861385;-1353120;26;0,150520849;N
120;4000;1000000;D-41;-5860385;-1353120;26;0,132458854;S
121;4000;1000000;E-41;-5859385;-1353120;25;0,879066689;P
122;4000;1000000;F-41;-5858385;-1353120;20;0,303974943;P
123;4000;1000000;G-41;-5857385;-1353120;25;0,183632247;S
124;4000;1000000;H-41;-5856385;-1353120;21;0,743795031;S
125;4000;1000000;I-41;-5855385;-1353120;26;0,633574775;P
126;4000;1000000;J-41;-5854385;-1353120;24;0,363585606;N
127;4000;1000000;K-41;-5853385;-1353120;26;0,653364411;S
128;4000;1000000;L-41;-5852385;-1353120;22;0,259230754;S
129;4000;1000000;M-41;-5851385;-1353120;25;0,134541587;N
130;4000;1000000;N-41;-5850385;-1353120;24;0,874826004;P
131;4000;1000000;O-41;-5849385;-1353120;23;0,506577122;N
132;4000;1000000;P-41;-5848385;-1353120;23;0,351884894;P
133;4000;1000000;Q-41;-5847385;-1353120;25;0,217518063;P
134;4000;1000000;R-41;-5846385;-1353120;24;0,894335767;S
135;4000;1000000;S-41;-5845385;-1353120;25;0,372888462;S
136;4000;1000000;T-41;-5844385;-1353120;21;0,511105359;N
137;4000;1000000;U-41;-5843385;-1353120;24;0,639246439;N
138;4000;1000000;V-41;-5842385;-1353120;26;0,370809594;S
139;4000;1000000;W-41;-5841385;-1353120;24;0,523140917;N
140;4000;1000000;X-41;-5840385;-1353120;25;0,491052161;N
141;4000;1000000;Y-41;-5839385;-1353120;26;0,756563949;P
142;4000;1000000;Z-41;-5838385;-1353120;24;0,54070909;S
143;4000;1000000;AA-41;-5837385;-1353120;22;0,612641893;P
144;4000;1000000;AB-41;-5836385;-1353120;22;0,928885949;S
145;4000;1000000;AC-41;-5835385;-1353120;26;0,231456054;S
146;4000;1000000;AD-41;-5834385;-1353120;24;0,93618771;P
147;4000;1000000;AE-41;-5833385;-1353120;23;0,87749926;N
148;4000;1000000;AF-41;-5832385;-1353120;22;0,364466871;N
149;4000;1000000;AG-41;-5831385;-1353120;20;0,424978533;N
150;4000;1000000;AH-41;-5830385;-1353120;22;0,733869319;N
151;4000;1000000;AI-41;-5829385;-1353120;23;0,549014737;S
152;4000;1000000;AJ-41;-5828385;-1353120;26;0,530756982;S
153;4000;1000000;AK-41;-5827385;-1353120;26;0,07103868;N
154;4000;1000000;AL-41;-5826385;-1353120;26;0,832803947;N
155;4000;1000000;AM-41;-5825385;-1353120;25;0,204658424;N
156;4000;1000000;AN-41;-5824385;-1353120;24;0,52128867;P
157;4000;1000000;AO-41;-5823385;-1353120;24;0,272595726;P
158;4000;1000000;AP-41;-5822385;-1353120;26;0,053613809;P
159;4000;1000000;AQ-41;-5821385;-1353120;26;0,008554926;N
160;4000;1000000;AR-41;-5820385;-1353120;24;0,275325292;P
161;4000;1000000;AS-41;-5819385;-1353120;26;0,738829562;N
162;4000;1000000;AT-41;-5818385;-1353120;26;0,73680843;N
163;4000;1000000;AU-41;-5817385;-1353120;22;0,785154312;S
164;4000;1000000;AV-41;-5816385;-1353120;20;0,348695363;N
165;4000;1000000;AW-41;-5815385;-1353120;21;0,33017979;N
166;4000;1000000;AX-41;-5814385;-1353120;23;0,707361158;N
167;4000;1000000;AY-41;-5813385;-1353120;26;0,914265319;P
168;4000;1000000;AZ-41;-5812385;-1353120;21;0,31429771;N
169;4000;1000000;BA-41;-5811385;-1353120;25;0,280842682;P
170;4000;1000000;BB-41;-5810385;-1353120;21;0,095820969;S
171;4000;1000000;BC-41;-5809385;-1353120;25;0,253238162;P
172;4000;1000000;BD-41;-5808385;-1353120;26;0,087751058;N
173;4000;1000000;BE-41;-5807385;-1353120;22;0,134189855;P
174;4000;1000000;BF-41;-5806385;-1353120;21;0,072422632;S
175;4000;1000000;A-40;-5863385;-1352120;23;0,541488153;N
176;4000;1000000;B-40;-5862385;-1352120;20;0,805599499;S
177;4000;1000000;C-40;-5861385;-1352120;20;0,990775263;S
178;4000;1000000;D-40;-5860385;-1352120;21;0,13505627;N
179;4000;1000000;E-40;-5859385;-1352120;26;0,154029826;N
180;4000;1000000;F-40;-5858385;-1352120;24;0,583495023;P
181;4000;1000000;G-40;-5857385;-1352120;22;0,973831168;N
182;4000;1000000;H-40;-5856385;-1352120;24;0,772844617;S
183;4000;1000000;I-40;-5855385;-1352120;23;0,582766275;P
184;4000;1000000;J-40;-5854385;-1352120;22;0,257237251;N
185;4000;1000000;K-40;-5853385;-1352120;21;0,355519735;P
186;4000;1000000;L-40;-5852385;-1352120;24;0,363475464;N
187;4000;1000000;M-40;-5851385;-1352120;26;0,128787967;P
188;4000;1000000;N-40;-5850385;-1352120;25;0,620993071;P
189;4000;1000000;O-40;-5849385;-1352120;20;0,027931794;S
190;4000;1000000;P-40;-5848385;-1352120;26;0,356403708;N
191;4000;1000000;Q-40;-5847385;-1352120;24;0,514626921;N
192;4000;1000000;R-40;-5846385;-1352120;26;0,015000618;N
193;4000;1000000;S-40;-5845385;-1352120;21;0,573784422;S
194;4000;1000000;T-40;-5844385;-1352120;21;0,755768775;N
195;4000;1000000;U-40;-5843385;-1352120;26;0,240161251;N
196;4000;1000000;V-40;-5842385;-1352120;22;0,835317988;P
197;4000;1000000;W-40;-5841385;-1352120;22;0,781743062;P
198;4000;1000000;X-40;-5840385;-1352120;22;0,219678917;P
199;4000;1000000;Y-40;-5839385;-1352120;20;0,370730261;P
200;4000;1000000;Z-40;-5838385;-1352120;23;0,819987977;N
201;4000;1000000;AA-40;-5837385;-1352120;20;0,67625561;N
202;4000;1000000;AB-40;-5836385;-1352120;23;0,925201491;S
203;4000;1000000;AC-40;-5835385;-1352120;24;0,58107586;P
204;4000;1000000;AD-40;-5834385;-1352120;23;0,990737044;P
205;4000;1000000;AE-40;-5833385;-1352120;20;0,944815208;P
206;4000;1000000;AF-40;-5832385;-1352120;24;0,777143399;P
207;4000;1000000;AG-40;-5831385;-1352120;25;0,33084211;P
208;4000;1000000;AH-40;-5830385;-1352120;24;0,780021844;N
209;4000;1000000;AI-40;-5829385;-1352120;23;0,306192899;P
210;4000;1000000;AJ-40;-5828385;-1352120;22;0,595278225;N
211;4000;1000000;AK-40;-5827385;-1352120;21;0,008192407;N
212;4000;1000000;AL-40;-5826385;-1352120;25;0,582803272;P
213;4000;1000000;AM-40;-5825385;-1352120;23;0,229821302;P
214;4000;1000000;AN-40;-5824385;-1352120;24;0,04580882;S
215;4000;1000000;AO-40;-5823385;-1352120;25;0,077446149;P
216;4000;1000000;AP-40;-5822385;-1352120;21;0,558699274;S
217;4000;1000000;AQ-40;-5821385;-1352120;21;0,261192324;S
218;4000;1000000;AR-40;-5820385;-1352120;24;0,009154275;P
219;4000;1000000;AS-40;-5819385;-1352120;20;0,667764038;S
220;4000;1000000;AT-40;-5818385;-1352120;21;0,695260085;N
221;4000;1000000;AU-40;-5817385;-1352120;21;0,589739186;S
222;4000;1000000;AV-40;-5816385;-1352120;20;0,527584901;S
223;4000;1000000;AW-40;-5815385;-1352120;20;0,902016202;S
224;4000;1000000;AX-40;-5814385;-1352120;25;0,154651227;P
225;4000;1000000;AY-40;-5813385;-1352120;25;0,753222346;P
226;4000;1000000;AZ-40;-5812385;-1352120;23;0,508117012;N
227;4000;1000000;BA-40;-5811385;-1352120;24;0,840197914;N
228;4000;1000000;BB-40;-5810385;-1352120;25;0,626912466;S
229;4000;1000000;BC-40;-5809385;-1352120;22;0,436866655;P
230;4000;1000000;BD-40;-5808385;-1352120;23;0,15695834;N
231;4000;1000000;BE-40;-5807385;-1352120;25;0,499271088;S
232;4000;1000000;BF-40;-5806385;-1352120;20;0,562068755;S
233;4000;1000000;A-39;-5863385;-1351120;23;0,270674539;N
234;4000;1000000;B-39;-5862385;-1351120;25;0,491502183;S
235;4000;1000000;C-39;-5861385;-1351120;23;0,551601076;N
236;4000;1000000;D-39;-5860385;-1351120;24;0,56466058;P
237;4000;1000000;E-39;-5859385;-1351120;21;0,85812291;P
238;4000;1000000;F-39;-5858385;-1351120;26;0,928560768;P
239;4000;1000000;G-39;-5857385;-1351120;22;0,396480318;S
240;4000;1000000;H-39;-5856385;-1351120;26;0,117161274;P
241;4000;1000000;I-39;-5855385;-1351120;20;0,020450654;S
242;4000;1000000;J-39;-5854385;-1351120;22;0,826968082;N
243;4000;1000000;K-39;-5853385;-1351120;21;0,926231747;S
244;4000;1000000;L-39;-5852385;-1351120;24;0,842553897;S
245;4000;1000000;M-39;-5851385;-1351120;22;0,381608504;P
246;4000;1000000;N-39;-5850385;-1351120;20;0,347168773;P
247;4000;1000000;O-39;-5849385;-1351120;23;0,069360137;S
248;4000;1000000;P-39;-5848385;-1351120;24;0,631278646;N
249;4000;1000000;Q-39;-5847385;-1351120;23;0,020903519;N
250;4000;1000000;R-39;-5846385;-1351120;25;0,237052711;N
251;4000;1000000;S-39;-5845385;-1351120;23;0,107151084;P
252;4000;1000000;T-39;-5844385;-1351120;24;0,591947464;S
253;4000;1000000;U-39;-5843385;-1351120;22;0,394132761;S
254;4000;1000000;V-39;-5842385;-1351120;21;0,406383801;N
255;4000;1000000;W-39;-5841385;-1351120;20;0,339100929;P
256;4000;1000000;X-39;-5840385;-1351120;22;0,801980715;P
257;4000;1000000;Y-39;-5839385;-1351120;25;0,47170371;N
258;4000;1000000;Z-39;-5838385;-1351120;25;0,256809329;N
259;4000;1000000;AA-39;-5837385;-1351120;26;0,447371725;N
260;4000;1000000;AB-39;-5836385;-1351120;22;0,775011304;N
261;4000;1000000;AC-39;-5835385;-1351120;25;0,332998191;S
262;4000;1000000;AD-39;-5834385;-1351120;25;0,996923796;P
263;4000;1000000;AE-39;-5833385;-1351120;24;0,305150745;N
264;4000;1000000;AF-39;-5832385;-1351120;25;0,8731142;S
265;4000;1000000;AG-39;-5831385;-1351120;20;0,271125279;N
266;4000;1000000;AH-39;-5830385;-1351120;26;0,517067658;P
267;4000;1000000;AI-39;-5829385;-1351120;21;0,010006656;N
268;4000;1000000;AJ-39;-5828385;-1351120;20;0,440733658;N
269;4000;1000000;AK-39;-5827385;-1351120;25;0,167012171;S
270;4000;1000000;AL-39;-5826385;-1351120;21;0,732570404;P
271;4000;1000000;AM-39;-5825385;-1351120;23;0,121808333;S
272;4000;1000000;AN-39;-5824385;-1351120;20;0,619968357;N
273;4000;1000000;AO-39;-5823385;-1351120;26;0,491354594;N
274;4000;1000000;AP-39;-5822385;-1351120;26;0,257099976;N
275;4000;1000000;AQ-39;-5821385;-1351120;25;0,150520849;N
276;4000;1000000;AR-39;-5820385;-1351120;21;0,132458854;P
277;4000;1000000;AS-39;-5819385;-1351120;23;0,879066689;S
278;4000;1000000;AT-39;-5818385;-1351120;22;0,303974943;P
279;4000;1000000;AU-39;-5817385;-1351120;25;0,183632247;P
280;4000;1000000;AV-39;-5816385;-1351120;21;0,743795031;P
281;4000;1000000;AW-39;-5815385;-1351120;26;0,633574775;P
282;4000;1000000;AX-39;-5814385;-1351120;25;0,363585606;S
283;4000;1000000;AY-39;-5813385;-1351120;23;0,653364411;P
284;4000;1000000;AZ-39;-5812385;-1351120;20;0,259230754;P
285;4000;1000000;BA-39;-5811385;-1351120;26;0,134541587;S
286;4000;1000000;BB-39;-5810385;-1351120;25;0,874826004;S
287;4000;1000000;BC-39;-5809385;-1351120;23;0,506577122;S
288;4000;1000000;BD-39;-5808385;-1351120;21;0,351884894;P
289;4000;1000000;BE-39;-5807385;-1351120;22;0,217518063;N
290;4000;1000000;BF-39;-5806385;-1351120;22;0,894335767;S
291;4000;1000000;A-38;-5863385;-1350120;21;0,372888462;N
292;4000;1000000;B-38;-5862385;-1350120;26;0,511105359;P
293;4000;1000000;C-38;-5861385;-1350120;23;0,639246439;N
294;4000;1000000;D-38;-5860385;-1350120;25;0,370809594;N
295;4000;1000000;E-38;-5859385;-1350120;25;0,523140917;P
296;4000;1000000;F-38;-5858385;-1350120;22;0,491052161;N
297;4000;1000000;G-38;-5857385;-1350120;22;0,756563949;P
298;4000;1000000;H-38;-5856385;-1350120;26;0,54070909;S
299;4000;1000000;I-38;-5855385;-1350120;23;0,612641893;P
300;4000;1000000;J-38;-5854385;-1350120;23;0,928885949;S
301;4000;1000000;K-38;-5853385;-1350120;20;0,231456054;N
302;4000;1000000;L-38;-5852385;-1350120;25;0,93618771;P
303;4000;1000000;M-38;-5851385;-1350120;20;0,87749926;P
304;4000;1000000;N-38;-5850385;-1350120;23;0,364466871;N
305;4000;1000000;O-38;-5849385;-1350120;23;0,424978533;P
306;4000;1000000;P-38;-5848385;-1350120;21;0,733869319;P
307;4000;1000000;Q-38;-5847385;-1350120;22;0,549014737;N
308;4000;1000000;R-38;-5846385;-1350120;21;0,530756982;N
309;4000;1000000;S-38;-5845385;-1350120;22;0,07103868;S
310;4000;1000000;T-38;-5844385;-1350120;25;0,832803947;N
311;4000;1000000;U-38;-5843385;-1350120;26;0,204658424;S
312;4000;1000000;V-38;-5842385;-1350120;26;0,52128867;N
313;4000;1000000;W-38;-5841385;-1350120;25;0,272595726;N
314;4000;1000000;X-38;-5840385;-1350120;25;0,053613809;P
315;4000;1000000;Y-38;-5839385;-1350120;26;0,008554926;N
316;4000;1000000;Z-38;-5838385;-1350120;21;0,275325292;P
317;4000;1000000;AA-38;-5837385;-1350120;21;0,738829562;S
318;4000;1000000;AB-38;-5836385;-1350120;21;0,73680843;N
319;4000;1000000;AC-38;-5835385;-1350120;21;0,785154312;N
320;4000;1000000;AD-38;-5834385;-1350120;20;0,348695363;N
321;4000;1000000;AE-38;-5833385;-1350120;21;0,33017979;P
322;4000;1000000;AF-38;-5832385;-1350120;24;0,707361158;S
323;4000;1000000;AG-38;-5831385;-1350120;21;0,914265319;P
324;4000;1000000;AH-38;-5830385;-1350120;26;0,31429771;S
325;4000;1000000;AI-38;-5829385;-1350120;21;0,280842682;N
326;4000;1000000;AJ-38;-5828385;-1350120;21;0,095820969;P
327;4000;1000000;AK-38;-5827385;-1350120;24;0,253238162;N
328;4000;1000000;AL-38;-5826385;-1350120;20;0,087751058;S
329;4000;1000000;AM-38;-5825385;-1350120;23;0,134189855;P
330;4000;1000000;AN-38;-5824385;-1350120;21;0,072422632;N
331;4000;1000000;AO-38;-5823385;-1350120;20;0,541488153;P
332;4000;1000000;AP-38;-5822385;-1350120;24;0,805599499;N
333;4000;1000000;AQ-38;-5821385;-1350120;26;0,990775263;N
334;4000;1000000;AR-38;-5820385;-1350120;26;0,13505627;P
335;4000;1000000;AS-38;-5819385;-1350120;26;0,154029826;S
336;4000;1000000;AT-38;-5818385;-1350120;23;0,583495023;P
337;4000;1000000;AU-38;-5817385;-1350120;26;0,973831168;P
338;4000;1000000;AV-38;-5816385;-1350120;23;0,772844617;P
339;4000;1000000;AW-38;-5815385;-1350120;22;0,582766275;N
340;4000;1000000;AX-38;-5814385;-1350120;26;0,257237251;P
341;4000;1000000;AY-38;-5813385;-1350120;24;0,355519735;N
342;4000;1000000;AZ-38;-5812385;-1350120;21;0,363475464;S
343;4000;1000000;BA-38;-5811385;-1350120;22;0,128787967;P
344;4000;1000000;BB-38;-5810385;-1350120;20;0,620993071;N
345;4000;1000000;BC-38;-5809385;-1350120;26;0,027931794;S
346;4000;1000000;BD-38;-5808385;-1350120;23;0,356403708;P
347;4000;1000000;BE-38;-5807385;-1350120;23;0,514626921;P
348;4000;1000000;BF-38;-5806385;-1350120;21;0,015000618;N
349;4000;1000000;A-37;-5863385;-1349120;20;0,573784422;N
350;4000;1000000;B-37;-5862385;-1349120;20;0,755768775;S
351;4000;1000000;C-37;-5861385;-1349120;20;0,240161251;S
352;4000;1000000;D-37;-5860385;-1349120;21;0,835317988;P
353;4000;1000000;E-37;-5859385;-1349120;25;0,781743062;S
354;4000;1000000;F-37;-5858385;-1349120;22;0,219678917;N
355;4000;1000000;G-37;-5857385;-1349120;25;0,370730261;S
356;4000;1000000;H-37;-5856385;-1349120;21;0,819987977;S
357;4000;1000000;I-37;-5855385;-1349120;24;0,67625561;P
358;4000;1000000;J-37;-5854385;-1349120;20;0,925201491;P
359;4000;1000000;K-37;-5853385;-1349120;22;0,58107586;S
360;4000;1000000;L-37;-5852385;-1349120;21;0,990737044;N
361;4000;1000000;M-37;-5851385;-1349120;25;0,944815208;N
362;4000;1000000;N-37;-5850385;-1349120;26;0,777143399;S
363;4000;1000000;O-37;-5849385;-1349120;23;0,33084211;N
364;4000;1000000;P-37;-5848385;-1349120;22;0,780021844;N
365;4000;1000000;Q-37;-5847385;-1349120;26;0,306192899;S
366;4000;1000000;R-37;-5846385;-1349120;22;0,595278225;P
367;4000;1000000;S-37;-5845385;-1349120;26;0,008192407;N
368;4000;1000000;T-37;-5844385;-1349120;22;0,582803272;N
369;4000;1000000;U-37;-5843385;-1349120;22;0,229821302;P
370;4000;1000000;V-37;-5842385;-1349120;20;0,04580882;N
371;4000;1000000;W-37;-5841385;-1349120;23;0,077446149;N
372;4000;1000000;X-37;-5840385;-1349120;26;0,558699274;N
373;4000;1000000;Y-37;-5839385;-1349120;20;0,261192324;S
374;4000;1000000;Z-37;-5838385;-1349120;25;0,009154275;S
375;4000;1000000;AA-37;-5837385;-1349120;22;0,667764038;S
376;4000;1000000;AB-37;-5836385;-1349120;26;0,695260085;P
377;4000;1000000;AC-37;-5835385;-1349120;25;0,589739186;P
378;4000;1000000;AD-37;-5834385;-1349120;21;0,527584901;N
379;4000;1000000;AE-37;-5833385;-1349120;20;0,902016202;N
380;4000;1000000;AF-37;-5832385;-1349120;21;0,154651227;P
381;4000;1000000;AG-37;-5831385;-1349120;20;0,753222346;N
382;4000;1000000;AH-37;-5830385;-1349120;26;0,508117012;N
383;4000;1000000;AI-37;-5829385;-1349120;20;0,840197914;S
384;4000;1000000;AJ-37;-5828385;-1349120;24;0,626912466;P
385;4000;1000000;AK-37;-5827385;-1349120;26;0,436866655;P
386;4000;1000000;AL-37;-5826385;-1349120;22;0,15695834;S
387;4000;1000000;AM-37;-5825385;-1349120;26;0,499271088;N
388;4000;1000000;AN-37;-5824385;-1349120;22;0,562068755;S
389;4000;1000000;AO-37;-5823385;-1349120;24;0,270674539;S
390;4000;1000000;AP-37;-5822385;-1349120;20;0,491502183;P
391;4000;1000000;AQ-37;-5821385;-1349120;21;0,551601076;P
392;4000;1000000;AR-37;-5820385;-1349120;21;0,56466058;N
393;4000;1000000;AS-37;-5819385;-1349120;22;0,85812291;S
394;4000;1000000;AT-37;-5818385;-1349120;26;0,928560768;S
395;4000;1000000;AU-37;-5817385;-1349120;24;0,396480318;P
396;4000;1000000;AV-37;-5816385;-1349120;23;0,117161274;N
397;4000;1000000;AW-37;-5815385;-1349120;21;0,020450654;S
398;4000;1000000;AX-37;-5814385;-1349120;24;0,826968082;N
399;4000;1000000;AY-37;-5813385;-1349120;22;0,926231747;N
400;4000;1000000;AZ-37;-5812385;-1349120;22;0,842553897;S
401;4000;1000000;BA-37;-5811385;-1349120;22;0,381608504;S
402;4000;1000000;BB-37;-5810385;-1349120;25;0,347168773;S
403;4000;1000000;BC-37;-5809385;-1349120;24;0,069360137;P
404;4000;1000000;BD-37;-5808385;-1349120;23;0,631278646;P
405;4000;1000000;BE-37;-5807385;-1349120;25;0,020903519;N
406;4000;1000000;BF-37;-5806385;-1349120;22;0,237052711;N
407;4000;1000000;A-36;-5863385;-1348120;24;0,107151084;P
408;4000;1000000;B-36;-5862385;-1348120;25;0,591947464;P
409;4000;1000000;C-36;-5861385;-1348120;25;0,394132761;P
410;4000;1000000;D-36;-5860385;-1348120;24;0,406383801;N
411;4000;1000000;E-36;-5859385;-1348120;21;0,339100929;P
412;4000;1000000;F-36;-5858385;-1348120;23;0,801980715;P
